0.12,0,0,9.60984e-08,3.23767e-07,9.39646e-07,1.1614e-06,1.32806e-06,1.38729e-06,0,0
0.122,0,0,7.43841e-08,3.07583e-07,8.27723e-07,1.0205e-06,1.17877e-06,1.24407e-06,0,0
0.124,0,0,8.06131e-08,2.80768e-07,7.51378e-07,9.32799e-07,1.07482e-06,1.12567e-06,0,0
0.126,0,0,6.64252e-08,2.54775e-07,6.7447e-07,8.35563e-07,9.76885e-07,1.02555e-06,0,0
0.128,0,0,5.87088e-08,2.17621e-07,6.28585e-07,7.71471e-07,8.83998e-07,9.19317e-07,0,0
0.13,0,0,3.78576e-08,1.69964e-07,4.61799e-07,5.90028e-07,6.79443e-07,7.03058e-07,0,0
0.132,0,0,2.25082e-08,7.40092e-08,2.18512e-07,2.71803e-07,3.08613e-07,3.18041e-07,0,0
0.134,0,0,8.36348e-09,4.19723e-08,1.03233e-07,1.26722e-07,1.45253e-07,1.52494e-07,0,0
0.136,0,0,2.30644e-09,1.21318e-08,2.88454e-08,4.04458e-08,4.79222e-08,4.85167e-08,0,0
0.138,0,0,0,0,0,5.61997e-10,5.62024e-10,5.62033e-10,0,0
0.14,0,0,0,0,0,0,0,0,0,0
0.142,0,0,0,0,0,0,0,0,0,0
0.144,0,0,0,0,0,0,0,0,0,0
0.146,0,0,0,0,0,0,0,0,0,0
0.148,0,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0
0.152,0,0,0,0,0,0,0,0,0,0
0.154,0,0,0,0,0,0,0,0,0,0
0.156,0,0,0,0,0,0,0,0,0,0
0.158,0,0,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0,0,0
0.162,0,0,0,0,0,0,0,0,0,0
0.164,0,0,0,0,0,0,0,0,0,0
0.166,0,0,0,0,0,0,0,0,0,0
0.168,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0
0.172,0,0,0,0,0,0,0,0,0,0
0.174,0,0,0,0,0,0,0,0,0,0
0.176,0,0,0,0,0,0,0,0,0,0
0.178,0,0,0,0,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0,0,0,0
0.182,0,0,0,0,0,0,0,0,0,0
0.184,0,0,0,0,0,0,0,0,0,0
0.186,0,0,0,0,0,0,0,0,0,0
0.188,0,0,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0,0,0,0
0.192,0,0,0,0,0,0,0,0,0,0
0.194,0,0,0,0,0,0,0,0,0,0
